"","Name","State","District","tehsil","village","shape_length","shape_area","longtitude","latitude","electricity","treated_water","electronics","phone","transport"
"44","Khokhar (1)",3,46,244,35679,0.194407324084,0.00111429760491,75.2886263335001,30.1784882124358,93.7,65.6,23.9,69.7,30.3
"45","Chaoke (450)",3,46,244,35680,0.272708403293,0.00298913759763,75.3346443521356,30.1844525478694,92.1,70,28.4666666666667,67.6,39.3
"46","Pirkot (451)",3,46,244,35681,0.133738303959,0.000798764295655,75.3293404129747,30.139523695867,94.9,69.4,26.8666666666667,61,38.6
"47","Bhaini Chuhar (452)",3,46,244,35682,0.103561344633,0.000570829510182,75.3063659898312,30.1225849224264,95.6,87.2,32.4333333333333,63.2,39.5
"48","Sooch (3)",3,46,244,35683,0.108134228029,0.000589545480637,75.302278800539,30.1544913383248,97,57.4,32.4333333333333,83.4,56.3
"49","Dikh (2)",3,46,244,35684,0.210402955765,0.00163354538749,75.2769655961653,30.1467789803908,95.7,72.6,28.2,86.8,40.1
"50","Dhade (3)",3,46,244,35685,0.161311588341,0.00116670464146,75.243144097875,30.1733228482756,96.8,64.5,30.5333333333333,89.7,50.1
"51","Ram Niwas (4)",3,46,244,35686,0.134489403967,0.000636837269349,75.2208874090777,30.1620302311326,97.4,87.1,28.4666666666667,80.2,42.6
"52","Mandi Khurd (5)",3,46,244,35687,0.0919801202422,0.000446842803668,75.2109439911678,30.1340554060701,94.3,53.6,26.6333333333333,86.1,38.5
"53","Har Kishanpura (10)",3,46,244,35688,0.114266882483,0.000485128127413,75.1721489140753,30.141907859277,98.8,20,31.3666666666667,84.7,34.7
"55","Jhanduke (11)",3,46,244,35690,0.179773538736,0.00081196772973,75.1480144136808,30.1578611456105,91.5,66.9,35.1,84,47.2
"56","Mansa Khurd (12)",3,46,244,35691,0.129083138835,0.00066045012353,75.1216947911012,30.1533926595107,98.4,79.9,31.2333333333333,92.1,64.6
"57","Gill Khurd (8)",3,46,244,35692,0.133816168951,0.000421463329625,75.1431781960001,30.1782473276005,99.5,66.8,33.5,87.7,45.9
"58","Daulatpura (7)",3,46,244,35693,0.083451992728,0.000379551630612,75.1628227077823,30.1917283273263,88.4,49.2,34.2666666666667,87.4,55.5
"59","Balianwala (6)",3,46,244,35694,0.245351535804,0.00225170658821,75.1927906117118,30.1757065785787,96.2,64.3,30.2666666666667,76.9,36.3
"60","Bhunder (449)",3,46,244,35695,0.171927206306,0.00149843538173,75.2211950785919,30.2078948031223,91.4,74.8,30.2666666666667,82.1,41
"61","Patti Karam Chand Mehraj (193)",3,46,244,35697,0.318552188021,0.00175451481738,75.1758320760217,30.2829254414693,96.7,71.8,34.8,80.7,55.3
"62","Pitho (45)",3,46,244,35699,0.216179189187,0.00185157946524,75.2876108835714,30.2447429174101,95.7,66.6,29.9666666666667,84.1,50.8
"63","Kararwala (44)",3,46,244,35700,0.200825314239,0.00111171396669,75.2982811885001,30.2835681001524,94.4,75.3,29.8666666666667,76.9,60.2
"64","Gill Kalan (40) (Part)",3,46,244,35701,0.17163354035,0.00098118139277,75.2647255833217,30.2815509332898,98.1,82.6,30.6666666666667,69.6,55.4
"65","Burj Mansa (41)",3,46,244,35702,0.136894224462,0.000365129510444,75.273436816857,30.3060183663444,99.1,77.2,35.5666666666667,97.2,82.4
"67","Sadhana (37)",3,46,244,35705,0.151214366031,0.000627625633012,75.2011620310001,30.3619903169505,97.1,68.7,25.1,63.9,42.2
"68","Bhagta Bhai Ka (NP)",3,46,244,800222,0.187441350903,0.00203703717913,75.099144251288,30.4890367765111,98.6785714285714,70.3357142857143,37.2761904761905,83.6571428571429,61.2928571428571
"69","Rampura Phul (M Cl + OG)",3,46,244,800223,0.214663390375,0.00190823662609,75.24034968871,30.2486994858912,98.952380952381,74.2761904761905,41.0698412698413,85.5952380952381,64.4095238095238
"70","Mari (191)",3,46,245,35712,0.119802847285,0.000625797742515,75.1566461544668,30.3334060883017,99.5,46.2,30.9333333333333,93.4,53.3
"71","Burj Dalla (184)",3,46,245,35713,0.105744710839,0.000270432924312,75.1323832975001,30.3438003839074,100,88,36,89.3,58.7
"72","Bhaini   (188)",3,46,245,35714,0.110730700198,0.000548667960029,75.1577452800001,30.3521031247363,99.1,55.1,32.7,85.4,50.3
"73","Kalian Sukha (185)",3,46,245,35717,0.297220366755,0.00372147294466,75.101344952517,30.3833933514493,98.4,72.2,30.5333333333333,79.8,47.6
"74","Bajoana (183)",3,46,245,35718,0.206009450906,0.000548443286998,75.0868565675001,30.3621904234855,96.7,51.8,31.2333333333333,86,43.5
"75","Giddar (181)",3,46,245,35719,0.144965062665,0.000934578447568,75.0543405762593,30.3567045326349,95.6,83.3,30.7,83.5,56.5
"76","Nathpura (182)",3,46,245,35720,0.174217421902,0.00099682186263,75.0978616564188,30.348329121231,98.1,73.1,31.4,76.3,53.2
"77","Ganga Nathana (180)",3,46,245,35721,0.20035033211,0.000819359823157,75.0732991962224,30.3358789852305,95.8,64.9,35.6333333333333,80.4,55.8
"78","Nathana (179)",3,46,245,35722,0.300042312639,0.00223594406696,75.0836919794048,30.3199085756744,94.6,74,32.1333333333333,79.4,57.1
"79","Poohli (178)",3,46,245,35723,0.178974163846,0.0016435614727,75.0717224163959,30.296586157826,88.9,28.6,27.8333333333333,65.3,42.2
"80","Dhilwan (177)",3,46,245,35724,0.0964399399466,0.000431329986062,75.0314002422624,30.3145062128885,98,91.1,27.2666666666667,84.4,50.4
"81","Gobindpura (176)",3,46,245,35725,0.182489649029,0.00104990411558,74.9996380361177,30.2754686502894,92.8,32.6,31.6666666666667,77.5,45.5
"82","Seman (199)",3,46,245,35726,0.196322746726,0.00103829533199,75.0693886220001,30.2681574630507,96.6,47.7,32.5666666666667,77.2,47.2
"83","Poohla (198)",3,46,245,35727,0.17239897404,0.00143326271584,75.1140425025156,30.2824633859059,97,43.6,34.0666666666667,66.7,55.1
"84","Bath (197)",3,46,245,35728,0.0876602917517,0.000261495691002,75.1396685207961,30.2827211752283,99.7,54,32.4666666666667,83.2,48
"86","Lehra Sondha (195)",3,46,245,35730,0.16558128363,0.000674436170042,75.1836889989485,30.259630720158,99.6,91.9,28.9666666666667,83,58.2
"87","Lehra Mohabat (196)",3,46,245,35731,0.298021775721,0.00229116018208,75.1701776067501,30.2329930660742,98.6,70.3,39.4666666666667,85,73.4
"88","Lehra Khana (202)",3,46,245,35732,0.19815652272,0.00126940950745,75.1089629075001,30.2172129065316,98.2,38.8,29.2,67,45.8
"89","Lehra Bega (200)",3,46,245,35733,0.176498009553,0.00113933214776,75.1178140185027,30.2445689510958,99.3,49.7,39.9,87.4,52.9
"90","Bhucho Kalan (201)",3,46,245,35734,0.371129318646,0.00336319310248,75.0753231205001,30.2355598754034,98.7,46.7,36.4666666666667,83.4,52.3
"91","Bhucho Khurd (207)",3,46,245,35736,0.145405581986,0.000979390334794,75.0546322624855,30.2047131488484,99,38.7,39.1333333333333,62.9,47.6
"92","Bhagu (59)",3,46,245,35737,0.120082409704,0.000704806317083,75.015019770948,30.1885940148779,96,25.8,30.6,71.4,40.2
"93","Bibiwala (174)",3,46,245,35738,0.0975920792474,0.000527992468953,74.9888753916537,30.2554799646394,99.4,39.5,37.2333333333333,89.9,76.6
"94","Joganand (173)",3,46,245,35739,0.102949268998,0.000488451270859,74.970944119636,30.2654913310031,96.9,6.8,36,86.4,56.9
"95","Gill Patti (71)",3,46,245,35740,0.117302364929,0.000810679020087,74.9369677166356,30.2733841891356,97.3,46.2,36.2666666666667,87.2,62.9
"96","Bhokhra (160)",3,46,245,35741,0.147269654445,0.00110266008955,74.9528129285076,30.2917688187819,94.2,54,37.8,83.3,66
"97","Khialiwala (159)",3,46,245,35742,0.157965482004,0.000955592609693,74.9891397559637,30.3051203294874,99.3,55.1,32.1333333333333,81.4,50.4
"98","Har Raipur Urf Bhokhri (158)",3,46,245,35743,0.269580193767,0.00179122951953,74.9846994225001,30.3299676361846,95.2,67.9,35,78.2,43.7
"99","Jandanwala (155)",3,46,245,35744,0.209870663377,0.00217308804486,75.004136703285,30.3522639361294,98.8,46.2,32.9,79.7,40.9
"100","Khemuana (154)",3,46,245,35745,0.151632136205,0.000763929033111,75.0129907898764,30.3771558173153,99,62.5,33.2333333333333,82.7,51.4
"101","Jeeda (153)",3,46,245,35746,0.0409038041837,4.7068369478e-05,74.9467437852202,30.3600726169763,93.7,44.9,29,78.7,43.9
"103","Goniana Khurd (163)",3,46,245,35750,0.140193975269,0.000482573687272,74.913482559,30.3464456989665,89,33.4,28.0666666666667,74.5,46.7
"105","Balahar Vinjhu (166)",3,46,245,35752,0.105154039188,0.000535641583421,74.9183374605148,30.3258039618551,97.7,19.9,34.7333333333333,87.1,55.3
"106","Amargarh (161)",3,46,245,35753,0.109688621416,0.000489338394694,74.9439494129679,30.3178655339477,95.1,13.4,45.3666666666667,78.5,62.5
"107","Nehianwala (167)",3,46,245,35754,0.192672472007,0.00161065713721,74.9088686710644,30.2953730935915,97.7,41,34.1333333333333,82.6,52.3
"108","Sibian (72)",3,46,245,35755,0.167344404988,0.00129207640208,74.8950915890905,30.259587856499,97.5,37.3,34.0666666666667,80.8,51.4
"109","Mehma Sarja (168)",3,46,245,35756,0.213626927901,0.00259432274081,74.8639043171315,30.2981350446598,96,49.3,31.0333333333333,78.8,49.4
"110","Mehma Sawai (169)",3,46,245,35757,0.234537482971,0.00150994956534,74.8643132638916,30.3298304106256,90.2,62.7,34.5666666666667,79.1,56.9
"112","Akalia Kalan (8)",3,46,245,35759,0.0125739857936,1.9183816196e-08,74.8544283170001,30.3763718225517,95.1,34.1,30.3666666666667,72.1,48.3
"113","Akalia Khurd (7)",3,46,245,35760,0.0892095867881,0.000307963376488,74.8692793214711,30.3663737177682,96.1,69.6,36.9333333333333,97,76.4
"114","Balahar Mehma (170)",3,46,245,35761,0.132574031121,0.000607004064619,74.8624856898791,30.3459326799069,94.4,31.9,34.5666666666667,81.2,57.2
"115","Dan Singhwala (171)",3,46,245,35762,0.199384566217,0.00141358709966,74.8457046940001,30.3564918073346,97.7,73.8,33.0666666666667,76.6,59.3
"116","Warkandi (172)",3,46,245,35763,0.0924040678172,0.000375642602318,74.8349983518947,30.3813732724728,94.8,9.1,36.9333333333333,72.2,33.8
"117","Ablu (174)",3,46,245,35765,0.452187639207,0.00341033081172,74.7592207050001,30.3042841482194,90.7,22.9,30.0666666666667,75.9,51.9
"118","Mehma Sarkari (175)",3,46,245,35766,0.103283743779,0.000539816592302,74.8224472043807,30.3077685013287,94.4,82,31.3666666666667,87.6,50.3
"119","Mehma Bhagwana (176)",3,46,245,35767,0.103535885905,0.000574850405785,74.8180843860529,30.2859987848057,99.7,12.1,36.8,86.4,54.4
"120","Killi Nihal Singhwali (179)",3,46,245,35768,0.107846673518,0.000524815453648,74.7816434138494,30.2833571923683,94.8,41,32.5666666666667,80.8,47.8
"121","Burj Mehma (178)",3,46,245,35769,0.140974126149,0.0011561540222,74.7951533140013,30.2599371179527,90.3,33,35.0333333333333,74.6,32.9
"122","Deon (177)",3,46,245,35770,0.209187885911,0.00202872665651,74.8346432874324,30.2575303300778,95.6,38.4,31,77.6,53.8
"123","Buladewala (73)",3,46,245,35771,0.111663833783,0.000658694777431,74.8613210721137,30.2426800123497,87.3,79.3,36.9666666666667,72,41.7
"124","Behman Dewana (74)",3,46,245,35772,0.266836154104,0.00164023340446,74.8474379899196,30.2265428881986,98.5,29.6,32.6333333333333,81.1,47
"125","Bir Behman (75)",3,46,245,35773,0.109231375129,0.000654481092454,74.8604601028545,30.2026331378075,97.5,39.3,32.6,75,52.8
"126","Chugha Khurd (76)",3,46,245,35774,0.13038979926,0.000819169656676,74.8288517884019,30.2002415529171,97.6,33.4,31.5,67.1,49.3
"127","Baluana (77)",3,46,245,35775,0.207332422571,0.00167627013529,74.7874175307895,30.2230111513319,94.1,55.3,32.8666666666667,85,43.7
"128","Virk Kalan (181)",3,46,245,35776,0.158137495118,0.00129132500407,74.748059014289,30.2568568220661,91.6,31.8,31.6,76.2,45.7
"129","Virk Khurd (182)",3,46,245,35777,0.148517190238,0.000640942274358,74.7308683920001,30.2385986734042,91,86.6,29.4666666666667,69.4,37.8
"130","Karamgarh Sattran (78)",3,46,245,35778,0.11327311873,0.000483117271734,74.7373817168469,30.2221193743916,95.5,42.2,28.3333333333333,69,42.7
"131","Sardargarh (80)",3,46,245,35779,0.155158412535,0.000929686076263,74.7351314926281,30.2029559794167,85.6,60.1,33.4,70.3,49.9
"132","Chugha Kalan (79)",3,46,245,35780,0.199922157024,0.00172033420848,74.7732813297827,30.1954926220744,94.8,70.9,34.2,79.7,43.1
"133","Jhumba (5)",3,46,245,35781,0.18512887467,0.00167357056645,74.7710025512242,30.1619681704691,93.9,25.5,30.9,69.9,42.7
"134","Teona (4)",3,46,245,35782,0.140807163664,0.00123308320867,74.8142532973081,30.1744997083518,95.5,30.9,29.4,68.2,49.2
"135","Multania (67)",3,46,245,35783,0.139505374797,0.000737184638984,74.8529631165001,30.1822525129741,98.5,56.1,45.3333333333333,89,71.2
"137","Naruana (65)",3,46,245,35785,0.182635232463,0.00135076982439,74.8866992991029,30.1609106377397,96.6,36.5,37.1333333333333,83.9,56.2
"140","Baho Sibian Patti Dharam Singh (1)",3,46,245,35788,0.0699715268725,0.000167481562464,74.8271046418423,30.1553976723351,93.1,29.8,37.5333333333333,91.9,58.6
"142","Jai Singhwala (91)",3,46,245,35790,0.183619615628,0.00173177996055,74.847063810063,30.1340700556054,96.1,64.7,29.2,77.6,43.3
"143","Gurusar Sainewala (92)",3,46,245,35791,0.146486506885,0.00092432012895,74.895900551196,30.1347099949617,95,78.4,29.9333333333333,72.6,38.3
"144","Jodhpur Romana (64)",3,46,245,35792,0.133211471976,0.000943103166481,74.9239922194918,30.1495614842088,94.1,24.6,34.0666666666667,76.5,52.3
"145","Jassi Pauwali (61)",3,46,245,35793,0.150600846328,0.00098739496986,74.9584728409573,30.1583595792431,94.7,42.8,32.5666666666667,81.3,54.4
"146","Phus Mandi (60)",3,46,245,35794,0.105116278084,0.000423486007181,74.9884706743635,30.1695457148406,96,19.8,33.4666666666667,83.1,42.7
"147","Gulabgarh Urf Naiwala (58)",3,46,245,35795,0.125506689859,0.000548319973522,75.0036408817707,30.154540670045,99.1,48.7,36.8666666666667,91.1,49.2
"148","Tungwali (208)",3,46,245,35796,0.250584736183,0.002963198768,75.0439973400365,30.164666073538,93.6,46.3,34.1333333333333,76,45.5
"149","Chak Fateh Singhwala (205)",3,46,245,35797,0.251492743046,0.00142171756808,75.08155652275,30.1812784341601,86.3,17.9,28.6,70,42.5
"150","Chak Bakhtu (203)",3,46,245,35798,0.168744268209,0.00103882010686,75.1336992035389,30.1991471068031,96.9,63,31.9,70.9,53.2
"151","Chak Ram Singhwala (204)",3,46,245,35799,0.117386072845,0.000718769917424,75.1142532990731,30.1748279644265,97.2,77.5,32.7666666666667,82.5,44.2
"152","Dhan Singh Khana (23)",3,46,245,35800,0.188807917019,0.00107869293526,75.088958573814,30.128911473208,93.3,32.2,31.2666666666667,78.5,44.6
"153","Kot Shamir (57)",3,46,245,35801,0.373975521869,0.00432545575876,75.0029236938871,30.1068340008683,99.3,46.7,31.1333333333333,74.8,43
"154","Katar Singhwala (62)",3,46,245,35802,0.118329669539,0.000534661944385,74.9859835082251,30.1442698212444,98.3,54.6,34.6333333333333,75.9,35.4
"155","Gehri Devi nagar (63)",3,46,245,35803,0.191167453596,0.00180848128843,74.9507603204644,30.1232013472995,96,49.1,31.2666666666667,81.7,46
"156","Mehta (94)",3,46,245,35804,0.141048397078,0.00114316027879,74.9178490143067,30.1033903643848,98.7,0.6,36.4333333333333,81.9,52.1
"157","Gehri Buttar (93)",3,46,245,35805,0.152440884143,0.00113913051118,74.8852141246174,30.1048385246822,93.8,51.2,31.6666666666667,86.6,46.4
"158","Anoopgarh Urf Machhana (98)",3,46,245,35806,0.13764725905,0.000437252662387,74.8640056694907,30.0600235515889,100,47.8,35.8333333333333,88.4,48.8
"159","Sangat Kalan (99)",3,46,245,35807,0.193072859725,0.00172069035216,74.8401845300651,30.0775471387883,92.8,45.3,30.3333333333333,79.3,38.7
"160","Phulo Mithi (90)",3,46,245,35808,0.173632905017,0.00157806355265,74.8410593803282,30.1058391743234,93.6,62.8,30.2333333333333,82.3,41.1
"161","Kot Guru (100)",3,46,245,35809,0.127130953837,0.000893434635569,74.7971901101636,30.0894588285784,89.8,55.8,30.4666666666667,79.2,36.8
"162","Ghudda (89)",3,46,245,35810,0.189874637668,0.00180352091765,74.7917063612558,30.1218207660839,98.4,65.7,31.5,80.2,50.3
"163","Nandgarh (88)",3,46,245,35811,0.12528408615,0.000630158550413,74.7560532500002,30.1034885461401,95.8,86.1,30.8666666666667,69.5,50.7
"164","Bajak (87)",3,46,245,35812,0.142244501282,0.00106380364982,74.7544440590625,30.1263952212082,96.4,59.6,34.1333333333333,86.8,53.2
"165","Janghi Rana (86)",3,46,245,35813,0.169009149869,0.00175913056377,74.7271051569976,30.1527093453233,92.1,73,29.8666666666667,78.4,48.1
"166","Raike Khurd Urf Chak Dana (84)",3,46,245,35814,0.0769752997405,0.000270930840427,74.6931184780001,30.1389693274012,100,10.9,31.3333333333333,74.4,45.2
"167","Bahadargarh Jandian (82)",3,46,245,35815,0.133901569103,0.000488635044956,74.6840946232501,30.1484690216017,92.8,57.5,37,78.3,43.4
"168","Lool Bai (81)",3,46,245,35816,0.104639835466,0.000457403634452,74.6681409226469,30.1588066703804,83.9,12.4,22.8,76.2,32.8
"169","Raike Kalan (83)",3,46,245,35817,0.184593491581,0.00171115019097,74.6591641375212,30.1284925517756,95.8,78.5,29.2666666666667,75,42.6
"170","Bambiha (85)",3,46,245,35818,0.156651296011,0.0012691035168,74.7122414360894,30.1214976346179,90.3,59.5,33.6333333333333,75.8,51.1
"171","Chak Attar Singhwala (103)",3,46,245,35819,0.153852701478,0.000784083283851,74.7321279707502,30.0944174683519,92,65.7,35.0333333333333,72.1,45.4
"172","Kal Jharani (104)",3,46,245,35820,0.176178945012,0.0014658281795,74.697899952392,30.0899068854619,96.9,82.3,28.1666666666667,74.2,44.3
"173","Kotli Sabo (105)",3,46,245,35821,0.0960901224584,0.000497511949205,74.7117060098551,30.0566012117299,100,90.7,32.6,82.2,42.6
"174","Faridkot (106)",3,46,245,35822,0.128242874683,0.000959632047797,74.7146797240139,30.0339943751175,93.3,93.1,27.4666666666667,73.4,42.4
"175","Bandi (107)",3,46,245,35825,0.178211835531,0.00208923483057,74.7509215318992,30.0495446080757,95.5,77,33,76.2,47.3
"177","Muhalan (101)",3,46,245,35827,0.0906608286684,0.00040670299589,74.771379931739,30.0768749914126,92.9,76,26.2,80.9,57.9
"178","Jassi Bagwali (111)",3,46,245,35828,0.214358797486,0.00167985473635,74.8044631404134,30.0532388672699,94.9,46.7,30.3,73,39.6
"179","Kishanpura Urf Kutti (110)",3,46,245,35829,0.160428588584,0.000712105087056,74.7868926361622,30.0342274096583,96.6,94.6,33,83.8,56
"182","Bhucho Mandi (M Cl)",3,46,245,800224,0.0926436637667,0.000464121386232,75.0862002350917,30.2104199125574,98.7142857142857,67.05,41.25,87.0142857142857,59.6857142857143
"183","Goniana (M Cl)",3,46,245,800225,0.162424622115,0.000685788849841,74.9241812477501,30.3602717015656,98.1428571428571,84.8357142857143,42.1690476190476,90.8357142857143,70.8142857142857
"184","Bathinda (M Corp.)",3,46,245,800226,0.420746859262,0.00541737129419,74.9360909936207,30.2160796305458,97.6921568627451,67.9921568627451,45.8941176470588,90.0862745098039,79.5313725490196
"185","Kot Fatta (M Cl)",3,46,245,800228,0.282578493588,0.00187894653353,75.0563496695001,30.1238514383139,97.075,21,31.3305555555555,77.2833333333333,41.7416666666667
"186","Jodhpur Bagga Singh Alias Phalran (116)",3,46,246,35833,0.140785616208,0.000745005144048,74.8285582846338,29.9945416160065,86.9,26.6,31.1333333333333,72.5,55.9
"187","Sekho (117)",3,46,246,35834,0.184719578372,0.00178192376803,74.8656087911777,29.9783188923093,96.3,57.1,30.8,77.5,43.3
"189","Pakka Kalan (114)",3,46,246,35836,0.409971763729,0.00299346459935,74.852742395746,30.0261774188446,95.2,12.6,33.6333333333333,82.9,47.3
"190","Amarpura Urf Gurthuri (112)",3,46,246,35837,0.132429760513,0.000564891679499,74.8318579359203,30.0439007024646,96.8,31,28.9333333333333,77,41.3
"191","Dunewala (97)",3,46,246,35838,0.0959496194711,0.000453881871228,74.893515150464,30.0793065732587,93.5,43.9,29.2333333333333,71.6,43
"192","Bhagwangarh Urf Bhukhianwali (96)",3,46,246,35839,0.247096335918,0.00131074180694,74.9096202087055,30.0690526943587,97,18.9,34.3333333333333,79.2,50.8
"193","Shergarh (95)",3,46,246,35840,0.131520446127,0.000829846178197,74.9462986294517,30.0751449782749,97.3,19.6,34.6333333333333,75.4,39.5
"194","Nasibpura (56) (Kaile bandar)",3,46,246,35841,0.177586313254,0.0016109296367,74.989501978577,30.0677072662925,98.2,29.4,31.0333333333333,67.4,38.9
"195","Kot Bakhtu (44)",3,46,246,35842,0.219441519694,0.00163835871206,74.9752810853091,30.0437938053029,96.9,11.1,31.6,84.4,44.8
"196","Manwala Urf Kishangarh (43)",3,46,246,35843,0.140233811927,0.000639578142963,74.9398213305,30.0400141212193,97.3,24.9,32.2666666666667,74.8,44.4
"197","Malwala (42)",3,46,246,35844,0.122038458841,0.000727549875746,74.9070935367938,30.0481126125476,97,21,33.9,73.6,42.8
